n01: 150000000000000000000000
n02: 123000000000000000000000000000000
n03: 0.000000000000000000000010000000000000001
n04: 0.000000000000012345678901234568
n05: 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
n06: 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
n07: 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000123456789
n08: 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
n09: 0
n10: 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005
n11: 9007199254740992
n12: 90071992547409920
n13: 900719925474099.3
n14: 100000000000000000000000
n15: 85000000000000000000000
n16: 95000000000000000000000
n17: 12000000000000000000000000
n18: 4349999999999999700000000000000
n19: 602214076000000000000000
n20: 0.00000000000000000016021766340000001
n21: 0.000000000000000000000000000000000662607015
